Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"Taschetto A.S., Gupta A.S., Hendon H.H., Ummenhofer C.C., England M.H.","23104422600;8874929700;7003545639;14020798200;7101869647;","The contribution of Indian Ocean sea surface temperature anomalies on Australian summer rainfall during EL Niño events",2011,"Journal of Climate","24","14",,"3734","3747",,70,"10.1175/2011JCLI3885.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960688149&doi=10.1175%2f2011JCLI3885.1&partnerID=40&md5=a8e031e382109733088e474a372b07c0","This study investigates the impact of Indian Ocean sea surface temperature (SST) anomalies on the atmospheric circulation of the Southern Hemisphere during El Niño events, with a focus on Australian climate. During El Niño episodes, the tropical Indian Ocean exhibits two types of SST response: a uniform ""basinwide warming"" and a dipole mode-the Indian Ocean dipole (IOD). While the impacts of the IOD on climate have been extensively studied, the effects of the basinwide warming, particularly in the Southern Hemisphere, have received less attention. The interannual basinwide warming response has important implications for Southern Hemisphere atmospheric circulation because 1) it accounts for a greater portion of the Indian Ocean monthly SST variance than the IOD pattern and 2) its maximum amplitude occurs during austral summer to early autumn, when large parts of Australia, South America, and Africa experience their monsoon. Using observations and numerical experiments with an atmospheric general circulation model forced with historical SST from 1949 to 2005 over different tropical domains, the authors show that the basinwide warming leads to a Gill-Matsuno-type response that reinforces the anomalies caused by changes in the Pacific as part of El Niño. In particular, the basinwide warming drives strong subsidence over Australia, prolonging the dry conditions during January-March, when El Niño-related SST starts to decay. In addition to the anomalous circulation in the tropics, the basinwide warming excites a pair of barotropic anomalies in the Indian Ocean extratropics that induces an anomalous anticyclone in the Great Australian Bight. © 2011 American Meteorological Society.",Article,"Final","",Scopus,2-s2.0-79960688149
"Ummenhofer C.C., Gupta A.S., Briggs P.R., England M.H., Mcintosh P.C., Meyers G.A., Pook M.J., Raupach M.R., Risbey J.S.","14020798200;8874929700;7102232696;7101869647;7004424878;56780535500;7003641049;7005649482;6701799761;","Corrigendum",2011,"Journal of Climate","24","14",,"3796","",,3,"10.1175/JCLI-D-11-00229.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960664095&doi=10.1175%2fJCLI-D-11-00229.1&partnerID=40&md5=db9a0acbbc167e4c97e78398aa0ba757",[No abstract available],Erratum,"Final","All Open Access, Bronze",Scopus,2-s2.0-79960664095
"Ummenhofer C.C., Gupta A.S., Briggs P.R., England M.H., McIntosh P.C., Meyers G.A., Pook M.J., Raupach M.R., Risbey J.S.","14020798200;8874929700;7102232696;7101869647;7004424878;56780535500;7003641049;7005649482;6701799761;","Indian and Pacific Ocean influences on southeast Australian drought and soil moisture",2011,"Journal of Climate","24","5",,"1313","1336",,125,"10.1175/2010JCLI3475.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955016669&doi=10.1175%2f2010JCLI3475.1&partnerID=40&md5=01e998d2ab6388674bc7fa105624dd26","The relative influences of Indian and Pacific Ocean modes of variability on Australian rainfall and soil moisture are investigated for seasonal, interannual, and decadal time scales. For the period 1900-2006, observations, reanalysis products, and hindcasts of soil moisture during the cool season (June-October) are used to assess the impacts of El Niño-Southern Oscillation (ENSO) and the Indian Ocean dipole (IOD) on southeastern Australia and the Murray-Darling Basin, two regions that have recently suffered severe droughts. A distinct asymmetry is found in the impacts of the opposite phases of both ENSO and IOD on Australian rainfall and soil moisture. There are significant differences between the dominant drivers of drought at interannual and decadal time scales. On interannual time scales, both ENSO and the IOD modify southeastern Australian soil moisture, with the driest (wettest) conditions over the southeast and more broadly over large parts of Australia occurring during years when an El Niño and a positive IOD event (La Niña and a negative IOD event) co-occur. The atmospheric circulation associated with these responses is discussed. Lower-frequency variability over southeastern Australia, however, including multiyear drought periods, seems to be more robustly related to Indian Ocean temperatures than Pacific conditions. The frequencies of both positive and negative IOD events are significantly different during periods of prolonged drought compared to extended periods of ""normal"" rainfall. In contrast, the frequency of ENSO events remains largely unchanged during prolonged dry and wet periods. For the Murray-Darling Basin, there appears to be a significant influence by La Niña and both positive and negative IOD events. In particular, La Niña plays a much more prominent role than for more southern regions, especially on interannual time scales and during prolonged wet periods. For prolonged dry (wet) periods, positive IOD events also occur in unusually high (low) numbers. © 2011 American Meteorological Society.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-79955016669
"Ummenhofer C.C., Sen Gupta A., Li Y., Taschetto A.S., England M.H.","14020798200;8874929700;57214962213;23104422600;7101869647;","Multi-decadal modulation of the El Nĩo-Indian monsoon relationship by Indian Ocean variability",2011,"Environmental Research Letters","6","3","034006","","",,71,"10.1088/1748-9326/6/3/034006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053519155&doi=10.1088%2f1748-9326%2f6%2f3%2f034006&partnerID=40&md5=0703d85a2bc821783ee639644dd7436f","The role of leading modes of Indo-Pacific climate variability is investigated for modulation of the strength of the Indian summer monsoon during the period 1877-2006. In particular, the effect of Indian Ocean conditions on the relationship between the El Nĩo-Southern Oscillation (ENSO) and the Indian monsoon is explored. Using an extended classification for ENSO and Indian Ocean dipole (IOD) events for the past 130 years and reanalyses, we have expanded previous interannual work to show that variations in Indian Ocean conditions modulate the ENSO-Indian monsoon relationship also on decadal timescales. El Nĩo events are frequently accompanied by a significantly reduced Indian monsoon and widespread drought conditions due to anomalous subsidence associated with a shift in the descending branch of the zonal Walker circulation. However, for El Nĩo events that co-occur with positive IOD (pIOD) events, Indian Ocean conditions act to counter El Nĩo's drought-inducing subsidence by enhancing moisture convergence over the Indian subcontinent, with an average monsoon season resulting. Decadal modulations of the frequency of independent and combined El Nĩo and pIOD events are consistent with a strengthened El Nĩo-Indian monsoon relationship observed at the start of the 20th century and the apparent recent weakening of the El Nĩo-Indian monsoon relationship. © 2011 IOP Publishing Ltd.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-80053519155
"Santoso A., Sen Gupta A., England M.H.","36841957400;8874929700;7101869647;","Genesis of Indian Ocean mixed layer temperature anomalies: A heat budget analysis",2010,"Journal of Climate","23","20",,"5375","5403",,42,"10.1175/2010JCLI3072.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649256875&doi=10.1175%2f2010JCLI3072.1&partnerID=40&md5=8bed7b03511fe2643a881ed278985533","The genesis of mixed layer temperature anomalies across the Indian Ocean are analyzed in terms of the underlying heat budget components. Observational data, for which a seasonal budget can be computed, and a climate model output, which provides improved spatial and temporal coverage for longer time scales, are examined. The seasonal climatology of the model heat budget is broadly consistent with the observational reconstruction, thus providing certain confidence in extending the model analysis to interannual time scales. To identify the dominant heat budget components, covariance analysis is applied based on the heat budget equation. In addition, the role of the heat budget terms on the generation and decay of temperature anomalies is revealed via a novel temperature variance budget approach. The seasonal evolution of the mixed layer temperature is found to be largely controlled by air-sea heat fluxes, except in the tropics where advection and entrainment are important. A distinct shift in the importance and role of certain heat budget components is shown to be apparent in moving from seasonal to interannual time scales. On these longer time scales, advection gains importance in generating and sustaining anomalies over extensive regions, including the trade wind and midlatitude wind regimes. On the other hand, air-sea heat fluxes tend to drive the evolution of thermal anomalies over subtropical regions including off northwestern Australia. In the tropics, however, they limit the growth of anomalies. Entrainment plays a role in the generation and maintenance of interannual anomalies over localized regions, particularly off Sumatra and over the Seychelles-Chagos Thermocline Ridge. It is further shown that the spatial distribution of the role and importance of these terms is related to oceanographic features of the Indian Ocean. Mixed layer depth effects and the influence of model biases are discussed. © 2010 American Meteorological Society.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-78649256875
"Taschetto A.S., Haarsma R.J., Gupta A.S., Ummenhofer C.C., Hill K.J., England M.H.","23104422600;6603718837;8874929700;14020798200;33567961500;7101869647;","Australian monsoon variability driven by a Gill-Matsuno-type response to central west Pacific warming",2010,"Journal of Climate","23","18",,"4717","4736",,46,"10.1175/2010JCLI3474.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958098696&doi=10.1175%2f2010JCLI3474.1&partnerID=40&md5=ec7f64ae5d1cbaac4a90ba89667bbbbe","The objective of this study is to investigate the mechanisms that cause the anomalous intensification of tropical Australian rainfall at the height of the monsoon during El Niño Modoki events. In such events, northwestern Australia tends to be wetter in January and February when the SST warming is displaced to the central west Pacific, the opposite response to that associated with a traditional El Niño. In addition, during the bounding months, that is, December and March, there is below-average rainfall induced by an anomalous Walker circulation. This behavior tends to narrow and intensify the annual rainfall cycle over northwestern Australia relative to the climatology, causing a delayed monsoonal onset and an earlier retreat over the region. Observational datasets and numerical experiments with a general circulation model are used to examine the atmospheric response to the central west Pacific SST warming. It is shown here that the increase of precipitation, particularly in February, is phased locked to the seasonal cycle when the intertropical convergence zone is displaced southward and the South Pacific convergence zone is strengthened. An interaction between the interannual SST variability associated with El Niño Modoki events and the evolution of the seasonal cycle intensifies deep convection in the central west Pacific, driving a Gill-Matsuno-type response to the diabatic heating. The westward-propagating disturbance associated with the Gill-Matsuno mechanism generates an anomalous cyclonic circulation over northwestern Australia, leading to convergence of moisture and increased precipitation. The Gill-Matsuno-type response overwhelms the subsidence of the anomalous Walker circulation associated with Modoki events over Australia during the peak of the monsoon. © 2010 American Meteorological Society.",Article,"Final","",Scopus,2-s2.0-77958098696
"Mcgregor S., Gupta A.S., Holbrook N.J., Power S.B.","8266754800;8874929700;7103158914;7101785401;","The modulation of ENSO variability in CCSM3 by extratropical Rossby waves",2009,"Journal of Climate","22","22",,"5839","5853",,8,"10.1175/2009JCLI2922.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649281648&doi=10.1175%2f2009JCLI2922.1&partnerID=40&md5=f5d24a9b53f1ece087857cf08f77528a","Evidence suggests that the magnitude and frequency of the El Niño-Southern Oscillation (ENSO) changes on interdecadal time scales. This is manifest in a distinct shift in ENSO behavior during the late 1970s. This study investigates mechanisms that may force this interdecadal variability and, in particular, on modulations driven by extratropical Rossby waves. Results from oceanic shallow-water models show that the Rossby wave theory can explain small near-zonal changes in equatorial thermocline depth that can alter the amplitude of simulated ENSO events. However, questions remain over whether the same mechanism operates in more complex coupled general circulation models (CGCMs) and what the magnitude of the resulting change would be. Experiments carried out in a state-of-the-art z-coordinate primitive equation model confirm that the Rossby wave mechanism does indeed operate. The effects of these interactions are further investigated using a partial coupling (PC) technique. This allows for the isolation of the role of wind stress-forced oceanic exchanges between the extratropics and the tropics and the subsequent modulation of ENSO variability. It is found that changes in the background state of the equatorial Pacific thermocline depth, induced by a fixed offequatorial wind stress anomaly, can significantly affect the probability of ENSO events occurring. This confirms the results obtained from simpler models and further validates theories that rely on oceanic wave dynamics to generate Pacific Ocean interdecadal variability. This indicates that an improved predictive capability for seasonal-to-interannual ENSO variability could be achieved through a better understanding of extratropical-to-tropical Pacific Ocean transfers and western boundary processes. Furthermore, such an understanding would provide a physical basis to enhance multiyear probabilistic predictions of ENSO indices. © 2009 American Meteorological Society.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-77649281648
"Ummenhofer C.C., Gupta A.S., Taschetto A.S., England M.H.","14020798200;8874929700;23104422600;7101869647;","Modulation of Australian precipitation by meridional gradients in east Indian Ocean sea surface temperature",2009,"Journal of Climate","22","21",,"5597","5610",,51,"10.1175/2009JCLI3021.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649279480&doi=10.1175%2f2009JCLI3021.1&partnerID=40&md5=0774fea9f676205e362448c33e556715","This study explores the impact of meridional sea surface temperature (SST) gradients across the eastern Indian Ocean on interannual variations in Australian precipitation. Atmospheric general circulation model (AGCM) experiments are conducted in which the sign and magnitude of eastern Indian Ocean SST gradients are perturbed. This results in significant rainfall changes for western and southeastern Australia. A reduction (increase) in the meridional SST gradient drives a corresponding response in the atmospheric thickness gradients and results in anomalous dry (wet) conditions over Australia. During simulated wet years, this seems to be due to westerly anomalies in the thermal wind over Australia and anomalous onshore moisture advection, with a suggestion that the opposite occurs during dry conditions. Thus, an asymmetry is seen in the magnitude of the forced circulation and precipitation response between the dry and wet simulations. To assess the relative contribution of the SST anomalies making up the meridional gradient, the SST pattern is decomposed into its constituent ""poles,"" that is, the eastern tropical pole off the northwest shelf of Australia versus the southern pole in the central subtropical Indian Ocean. Overall, the simulated Australian rainfall response is linear with regard to the sign and magnitude of the eastern Indian Ocean SST gradient. The tropical eastern pole has a larger impact on the atmospheric circulation and Australian precipitation changes relative to the southern subtropical pole. However, there is clear evidence of the importance of the southern pole in enhancing the Australian rainfall response, when occurring in conjunction with but of opposite sign to the eastern tropical pole. The observed relationship between the meridional SST gradient in the eastern Indian Ocean and rainfall over western and southeastern Australia is also analyzed for the period 1970-2005. The observed relationship is found to be consistent with the AGCM results. © 2009 American Meteorological Society.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-77649279480
"England M.H., Gupta A.S., Pitman A.J.","7101869647;8874929700;7005413744;","Constraining future greenhouse gas emissions by a cumulative target",2009,"Proceedings of the National Academy of Sciences of the United States of America","106","39",,"16539","16540",,13,"10.1073/pnas.0908197106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349754500&doi=10.1073%2fpnas.0908197106&partnerID=40&md5=e27923bc5bf329156b2cf0849f45d9ba",[No abstract available],Note,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-70349754500
"Taschetto A.S., Ummenhofer C.C., Gupta A.S., England M.H.","23104422600;14020798200;8874929700;7101869647;","Effect of anomalous warming in the central Pacific on the Australian monsoon",2009,"Geophysical Research Letters","36","12","L12704","","",,63,"10.1029/2009GL038416","https://www.scopus.com/inward/record.uri?eid=2-s2.0-68749083366&doi=10.1029%2f2009GL038416&partnerID=40&md5=2c8e28f2ee06f0b08ff33c98a9f371e4","The influence of sea surface temperature (SST) anomalies in the central Pacific Ocean on rainfall variability over Australia is investigated using observations and idealized simulations from an atmospheric general circulation model. We show that the SST warming centered at 180°W is associated with increased monsoon precipitation over northern Australia from January to February and a decrease in December and March over the same region, leading to a shorter and more intense monsoon period. In recent years SST anomalies commonly associated with El Niño events have often exhibited a peak signature in the central, not eastern, Pacific. These so-called El Niño Modoki events are shown here to result in a markedly shorter and more intense Australian monsoon season. Copyright 2009 by the American Geophysical Union.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-68749083366
"Gupta A.S., Santoso A., Taschetto A.S., Ummenhofer C.C., Trevena J., England M.H.","8874929700;36841957400;23104422600;14020798200;24485650000;7101869647;","Projected changes to the Southern Hemisphere ocean and sea ice in the IPCC AR4 climate models",2009,"Journal of Climate","22","11",,"3047","3078",,147,"10.1175/2008JCLI2827.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650527129&doi=10.1175%2f2008JCLI2827.1&partnerID=40&md5=b7119e60fa11ccf202edd5670a33972b","Fidelity and projected changes in the climate models, used for the Intergovernmental Panel on Climate Change (IPCC) Fourth Assessment Report (AR4), are assessed with regard to the Southern Hemisphere extratropical ocean and sea ice systems. While individual models span different physical parameterizations and resolutions, a major component of intermodel variability results from surface wind differences. Projected changes to the surface wind field are also central in modifying future extratropical circulation and internal properties. A robust southward shift of the circumpolar current and subtropical gyres is projected, with a strong spinup of the Atlantic gyre. An associated increase in the core strength of the circumpolar circulation is evident; however, this does not translate into robust increases in Drake Passage transport. While an overarching oceanic warming is projected, the circulation-driven poleward shift of the temperature field explains much of the midlatitude warming pattern. The effect of this shift is less clear for salinity, where, instead, surface freshwater forcing dominates. Surface warming and high-latitude freshwater increases drive intensified stratification, and a shoaling and southward shift of the deep mixed layers. Despite large inter-model differences, there is also a robust weakening in bottom water formation and its northward outflow. At the same time the wind intensification invigorates the upwelling of deep water, transporting warm, salty water southward and upward, with major implications for sequestration and outgassing of CO2. A robust decrease is projected for both the sea ice concentration and the seasonal cycling of ice volume, potentially altering the salt and heat budget at high latitudes. © 2009 American Meteorological Society.",Article,"Final","",Scopus,2-s2.0-67650527129
"Ummenhofer C.C., England M.H., Mclntosh P.C., Meyers G.A., Pook M.J., Risbey J.S.., Gupta A.S., Taschetto A.S.","14020798200;7101869647;26638950900;56780535500;7003641049;6701799761;8874929700;23104422600;","What causes southeast Australia's worst droughts?",2009,"Geophysical Research Letters","36","4","L04706","","",,502,"10.1029/2008GL036801","https://www.scopus.com/inward/record.uri?eid=2-s2.0-66149185567&doi=10.1029%2f2008GL036801&partnerID=40&md5=e61262352aa8cb6281a9090ffe4a417a","Since 1995, a large region of Australia has been gripped by the most severe drought in living memory, the so-called ""Big Dry"". The ramifications for affected regions are dire, with acute water shortages for rural and metropolitan areas, record agricultural losses, the drying-out of two of Australia's major river systems and far-reaching ecosystem damage. Yet the drought's origins have remained elusive. For Southeast Australia, we show here that the ""Big Dry"" and other iconic 20th Century droughts, including the Federation Drought (1895-1902) and World War II drought (1937-1945), are driven by Indian Ocean variability, not Pacific Ocean conditions as traditionally assumed. Specifically, a conspicuous absence of Indian Ocean temperature conditions conducive to enhanced tropical moisture transport has deprived southeastern Australia of its normal rainfall quota. In the case of the ""Big Dry"", its unprecedented intensity is also related to recent higher temperatures. © 2009 by the American Geophysical Union.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-66149185567
"Ummenhofer C.C., Sen Gupta A., England M.H.","14020798200;8874929700;7101869647;","Causes of late twentieth-century trends in New Zealand precipitation",2009,"Journal of Climate","22","1",,"3","19",,49,"10.1175/2008JCLI2323.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-60749123894&doi=10.1175%2f2008JCLI2323.1&partnerID=40&md5=fb8f0a62fec9d87fef14c08ac5a0bc1a","Late twentieth-century trends in New Zealand precipitation are examined using observations and reanalysis data for the period 1979-2006. One of the aims of this study is to investigate the link between these trends and recent changes in the large-scale atmospheric circulation in the Southern Hemisphere. The contributions from changes in Southern Hemisphere climate modes, particularly the El Niño-Southern Oscillation (ENSO) and the southern annular mode (SAM), are quantified for the austral summer season, December-February (DJF). Increasingly drier conditions over much of New Zealand can be partially explained by the SAM and ENSO. Especially over wide parts of the North Island and western regions of the South Island, the SAM potentially contributes up to 80% and 20%-50% to the overall decline in DJF precipitation, respectively. Over the North Island, the contribution of the SAM and ENSO to precipitation trends is of the same sign. In contrast, over the southwest of the South Island the two climate modes act in the opposite sense, though the effect of the SAM seems to dominate there during austral summer. The leading modes of variability in summertime precipitation over New Zealand are linked to the large-scale atmospheric circulation. The two dominant modes, explaining 64% and 9% of the overall DJF precipitation variability respectively, can be understood as local manifestations of the large-scale climate variability associated with the SAM and ENSO. © 2009 American Meteorological Society.",Article,"Final","",Scopus,2-s2.0-60749123894
"Ummenhofer C.C., Gupta A.S., England M.H., Reason C.J.C.","14020798200;8874929700;7101869647;7006235116;","Contributions of Indian Ocean sea surface temperatures to enhanced East African rainfall",2009,"Journal of Climate","22","4",,"993","1013",,122,"10.1175/2008JCLI2493.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-64049101038&doi=10.1175%2f2008JCLI2493.1&partnerID=40&md5=a63536ff283be3519ee0ccfa3c72a2de","Links between extreme wet conditions over East Africa and Indian Ocean sea surface temperatures (SST) are investigated during the core of the so-called short rain season in October-November. During periods of enhanced East African rainfall, Indian Ocean SST anomalies reminiscent of a tropical Indian Ocean dipole (IOD) event are observed. Ensemble simulations with an atmospheric general circulation model are used to understand the relative effect of local and large-scale Indian Ocean SST anomalies on above-average East African precipitation. The importance of the various tropical and subtropical IOD SST poles, both individually and in combination, is quantified. In the simulations, enhanced East African ""short rains"" are predominantly driven by the local warm SST anomalies in the western equatorial Indian Ocean, while the eastern cold pole of the tropical IOD is of lesser importance. The changed East African rainfall distribution can be explained by a reorganization of the atmospheric circulation induced by the SST anomalies. A reduction in sea level pressure over the western half of the Indian Ocean and converging wind anomalies over East Africa lead to moisture convergence and increased convective activity over the region. The pattern of large-scale circulation changes over the tropical Indian Ocean and adjacent landmasses is consistent with an anomalous strengthening of the Walker cell. The seasonal cycle of various indices related to the SST and the atmospheric circulation in the equatorial Indian Ocean are examined to assess their potential usefulness for seasonal forecasting. © 2009 American Meteorological Society.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-64049101038
"Dellnitz M., Froyland G., Horenkamp C., Padberg-Gehle K., Sen Gupta A.","6701425858;6603078566;35304939200;35230458500;8874929700;","Seasonal variability of the subpolar gyres in the Southern Ocean: A numerical investigation based on transfer operators",2009,"Nonlinear Processes in Geophysics","16","6",,"655","664",,66,"10.5194/npg-16-655-2009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-72449200609&doi=10.5194%2fnpg-16-655-2009&partnerID=40&md5=90af4ffd157f76e9751d4cb0c5e9ddd2","The detection of regions in the ocean that are coherent over an extended period of time is a fundamental problem in many oceanic applications. For instance such regions are important for studying the transport of marine species and for the distribution of nutrients. In this study we demonstrate the efficacy of transfer operators in detecting and analysing such structures. We focus first on the detection of the Weddell and Ross Gyre for the four seasons spanning December 2003-November 2004 within the 3-D oceanic domain south of 30° S, and show distinct seasonal differences in both the three-dimensional structure and the persistence of the gyres. Further, we demonstrate a new technique based on the discretised transfer operators to calculate the mean residence time of water within parts of the gyres and determine pathways of water leaving and entering the gyres.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-72449200609
"Griffies S.M., Biastoch A., Böning C., Bryan F., Danabasoglu G., Chassignet E.P., England M.H., Gerdes R., Haak H., Hallberg R.W., Hazeleger W., Jungclaus J., Large W.G., Madec G., Pirani A., Samuels B.L., Scheinert M., Gupta A.S., Severijns C.A., Simmons H.L., Treguier A.M., Winton M., Yeager S., Yin J.","6603715895;55907056900;6603406415;7005524881;6602688130;7003310695;7101869647;35548900300;56262883000;7004473824;7003467276;58222090300;7006739521;57194045072;25321144500;7005151549;25321116700;8874929700;6507815511;7102996015;35554288100;7003802133;7003693594;21935492900;","Coordinated Ocean-ice Reference Experiments (COREs)",2009,"Ocean Modelling","26","1-2",,"1","46",,533,"10.1016/j.ocemod.2008.08.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-56949093251&doi=10.1016%2fj.ocemod.2008.08.007&partnerID=40&md5=b252b4a3505ee4623c35079455b7361f","Coordinated Ocean-ice Reference Experiments (COREs) are presented as a tool to explore the behaviour of global ocean-ice models under forcing from a common atmospheric dataset. We highlight issues arising when designing coupled global ocean and sea ice experiments, such as difficulties formulating a consistent forcing methodology and experimental protocol. Particular focus is given to the hydrological forcing, the details of which are key to realizing simulations with stable meridional overturning circulations. The atmospheric forcing from [Large, W., Yeager, S., 2004. Diurnal to decadal global forcing for ocean and sea-ice models: the data sets and flux climatologies. NCAR Technical Note: NCAR/TN-460+STR. CGD Division of the National Center for Atmospheric Research] was developed for coupled-ocean and sea ice models. We found it to be suitable for our purposes, even though its evaluation originally focussed more on the ocean than on the sea-ice. Simulations with this atmospheric forcing are presented from seven global ocean-ice models using the CORE-I design (repeating annual cycle of atmospheric forcing for 500 years). These simulations test the hypothesis that global ocean-ice models run under the same atmospheric state produce qualitatively similar simulations. The validity of this hypothesis is shown to depend on the chosen diagnostic. The CORE simulations provide feedback to the fidelity of the atmospheric forcing and model configuration, with identification of biases promoting avenues for forcing dataset and/or model development.",Article,"Final","",Scopus,2-s2.0-56949093251
"Ummenhofer C.C., Gupta A.S., Pook M.J., England M.H.","14020798200;8874929700;7003641049;7101869647;","Anomalous rainfall over southwest Western Australia forced by Indian Ocean Sea surface temperatures",2008,"Journal of Climate","21","19",,"5113","5134",,98,"10.1175/2008JCLI2227.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-56349123164&doi=10.1175%2f2008JCLI2227.1&partnerID=40&md5=9c2bd117541d558f7a5066282f8b5172","The potential impact of Indian Ocean sea surface temperature (SST) anomalies in modulating midlatitude precipitation across southern and western regions of Australia is assessed in a series of atmospheric general circulation model (AGCM) simulations. Two sets of AGCM integrations forced with a seasonally evolving characteristic dipole pattern in Indian Ocean SST consistent with observed ""dry year"" (PDRY) and ""wet year"" (PWET) signatures are shown to induce precipitation changes across western regions of Australia. Over Western Australia, a significant shift occurs in the winter and annual rainfall frequency with the distribution becoming skewed toward less (more) rainfall for the PDRY (PWET) SST pattern. For southwest Western Australia (SWWA), this shift primarily is due to the large-scale stable precipitation. Convective precipitation actually increases in the PDRY case over SWWA forced by local positive SST anomalies. A mechanism for the large-scale rainfall shifts is proposed, by which the SST anomalies induce a reorganization of the large-scale atmospheric circulation across the Indian Ocean basin. Thickness (1000-500 hPa) anomalies develop in the atmosphere mirroring the sign and position of the underlying SST anomalies. This leads to a weakening (strengthening) of the meridional thickness gradient and the subtropical jet during the austral winter in PDRY (PWET). The subsequent easterly offshore (westerly onshore) anomaly in the thermal wind over southern regions of Australia, along with a decrease (increase) in baroclinicity, results in the lower (higher) levels of large-scale stable precipitation. Variations in the vertical thermal structure of the atmosphere overlying the SST anomalies favor localized increased convective activity in PDRY because of differential temperature lapse rates. In contrast, enhanced widespread ascent of moist air masses associated with frontal movement in PWET accounts for a significant increase in rainfall in that ensemble set. © 2008 American Meteorological Society.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-56349123164
"Gupta A.S., England M.H.","8874929700;7101869647;","Evaluation of interior circulation in a high-resolution global ocean model. Part II: Southern hemisphere intermediate, mode, and thermocline waters",2007,"Journal of Physical Oceanography","37","11",,"2612","2636",,10,"10.1175/2007JPO3644.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38549118918&doi=10.1175%2f2007JPO3644.1&partnerID=40&md5=bfc073bf556ac81468e0fae7b7d42b96","A high-resolution, offline ocean general circulation model, incorporating a realistic parameterization of mixed layer convection, is used to diagnose pathways and time scales of Southern Hemisphere intermediate, mode, and lower thermocline water ventilation. The use of such an offline methodology represents the only feasible way of simulating the long time scales required to validate the internal pathways of a high-resolution ocean model. Simulated and observed chlorofluorocarbon-11 (CFC-11) are in reasonably good agreement, demonstrating the model's skill in representing realistic ventilation. Regional passive dye and age tracer experiments aid in the identification of pathways originating from different Southern Hemisphere locations. Northern Hemisphere penetration of intermediate, mode, and thermocline waters is most extensive and rapid into the North Atlantic Ocean because these waters are involved in closing the Atlantic meridional overturning cell. However, less than 8% of this ventilation is derived from subduction within the South Atlantic in the simulation. Instead, this water enters the Atlantic just to the south of South Africa, having originally subducted primarily in the east Indian Ocean, but also in the west Indian Ocean and the west Pacific region where a pathway advects water westward to the south of Australia. This pathway also plays a large part, together with water overturned in the east Indian Ocean, in ventilating the northern reaches of the Indian basin. Northward propagation in the Pacific Ocean is limited to the low latitudes of the Northern Hemisphere and is almost exclusively accomplished by water subducted in the South Pacific. A small contribution is made from the other basins from water that spreads northward, fed by a circumpolar pathway associated with the Antarctic Circumpolar Current that forms a conduit for intermediate and mode water exchange between all three basins. Intermediate water is injected into and branches off this pathway in all basins, but most vigorously in the southeastern Pacific. © 2007 American Meteorological Society.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-38549118918
